Ticker
ADANIPORTS
ASIANPAINT
AXISBANK
BAJAJ-AUTO
BAJFINANCE
BAJAJFINSV
BHARTIARTL
BPCL
BRITANNIA
CIPLA
COALINDIA
DIVISLAB
DRREDDY
EICHERMOT
GRASIM
HCLTECH
HDFC
HDFCBANK
HDFCLIFE
HEROMOTOCO
HINDALCO
HINDUNILVR
ICICIBANK
INDUSINDBK
INFY
IOC
ITC
JSWSTEEL
KOTAKBANK
LT
M&M
MARUTI
NESTLEIND
NTPC
ONGC
POWERGRID
RELIANCE
SBIN
SBILIFE
SHREECEM
SUNPHARMA
TATAMOTORS
TATASTEEL
TCS
TATACONSUM
TECHM
TITAN
ULTRACEMCO
UPL
WIPRO
